"cigar"[3]: ["soare","lucid","cigar"]
"rebut"[3]: ["soare","putid","rebut"]
"sissy"[3]: ["soare","flint","sissy"]
"humph"[4]: ["soare","clint","dumpy","humph"]
"awake"[4]: ["soare","belga","knead","awake"]
"blush"[3]: ["soare","humpy","blush"]
"focal"[3]: ["soare","cital","focal"]
"evade"[4]: ["soare","belga","knead","evade"]
"naval"[4]: ["soare","clint","yukky","naval"]
"serve"[2]: ["soare","serve"]
"heath"[3]: ["soare","letch","heath"]
"dwarf"[3]: ["soare","ducat","dwarf"]
"model"[3]: ["soare","mythy","model"]
"karma"[4]: ["soare","lucid","mythy","karma"]
"stink"[3]: ["soare","flint","stink"]
"grade"[3]: ["soare","ditch","grade"]
"quiet"[3]: ["soare","clint","quiet"]
"bench"[3]: ["soare","clint","bench"]
"abate"[3]: ["soare","belga","abate"]
"feign"[3]: ["soare","clint","feign"]
"major"[3]: ["soare","timon","major"]
"death"[4]: ["soare","letch","heath","death"]
"fresh"[3]: ["soare","untin","fresh"]
"crust"[3]: ["soare","bruit","crust"]
"stool"[3]: ["soare","clint","stool"]
"colon"[3]: ["soare","culty","colon"]
"abase"[3]: ["soare","belch","abase"]
"marry"[3]: ["soare","ramin","marry"]
"react"[2]: ["soare","react"]
"batty"[4]: ["soare","clint","buffy","batty"]
"pride"[3]: ["soare","pried","pride"]
"floss"[3]: ["soare","kight","floss"]
"helix"[4]: ["soare","clint","pyxed","helix"]
"croak"[3]: ["soare","timon","croak"]
"staff"[3]: ["soare","clint","staff"]
"paper"[3]: ["soare","clipt","paper"]
"unfed"[4]: ["soare","clint","dumky","unfed"]
"whelp"[4]: ["soare","clint","byway","whelp"]
"trawl"[3]: ["soare","clint","trawl"]
"outdo"[3]: ["soare","clint","outdo"]
"adobe"[3]: ["soare","blond","adobe"]
"crazy"[3]: ["soare","clint","crazy"]
"sower"[2]: ["soare","sower"]
"repay"[4]: ["soare","clipt","paper","repay"]
"digit"[4]: ["soare","clint","dhoti","digit"]
"crate"[3]: ["soare","ditch","crate"]
"cluck"[3]: ["soare","clint","cluck"]
"spike"[3]: ["soare","elint","spike"]
"mimic"[3]: ["soare","clint","mimic"]
"pound"[4]: ["soare","culty","hewgh","pound"]
"maxim"[4]: ["soare","clint","mixup","maxim"]
"linen"[3]: ["soare","clint","linen"]
"unmet"[3]: ["soare","clint","unmet"]
"flesh"[3]: ["soare","built","flesh"]
"booby"[4]: ["soare","culty","dubbo","booby"]
"forth"[3]: ["soare","cyton","forth"]
"first"[3]: ["soare","bruit","first"]
"stand"[3]: ["soare","clint","stand"]
"belly"[4]: ["soare","clint","byway","belly"]
"ivory"[3]: ["soare","hyoid","ivory"]
"seedy"[3]: ["soare","clipt","seedy"]
"print"[3]: ["soare","guilt","print"]
"yearn"[3]: ["soare","thymy","yearn"]
"drain"[3]: ["soare","clint","drain"]
"bribe"[4]: ["soare","pried","bantu","bribe"]
"stout"[3]: ["soare","clint","stout"]
"panel"[4]: ["soare","clint","paned","panel"]
"crass"[3]: ["soare","sechs","crass"]
"flume"[3]: ["soare","guilt","flume"]
"offal"[3]: ["soare","blunt","offal"]
"agree"[3]: ["soare","cargo","agree"]
"error"[3]: ["soare","often","error"]
"swirl"[3]: ["soare","tupik","swirl"]
"argue"[3]: ["soare","cargo","argue"]
"bleed"[3]: ["soare","clint","bleed"]
