"cigar"[3]: ["raise","trail","cigar"]
"rebut"[4]: ["raise","roger","reply","rebut"]
"sissy"[3]: ["raise","tipsy","sissy"]
"humph"[3]: ["raise","thong","humph"]
"awake"[6]: ["raise","blade","ovate","chafe","agape","awake"]
"blush"[3]: ["raise","bossy","blush"]
"focal"[5]: ["raise","allay","tubal","modal","focal"]
"evade"[3]: ["raise","blade","evade"]
"naval"[4]: ["raise","mangy","daunt","naval"]
"serve"[4]: ["raise","shore","spree","serve"]
"heath"[5]: ["raise","gleam","annex","beady","heath"]
"dwarf"[3]: ["raise","graft","dwarf"]
"model"[4]: ["raise","fleck","lumen","model"]
"karma"[3]: ["raise","macro","karma"]
"stink"[4]: ["raise","spiky","stick","stink"]
"grade"[4]: ["raise","crane","drake","grade"]
"quiet"[4]: ["raise","eking","chief","quiet"]
"bench"[3]: ["raise","fleck","bench"]
"abate"[3]: ["raise","blade","abate"]
"feign"[3]: ["raise","eking","feign"]
"major"[4]: ["raise","macro","manor","major"]
"death"[5]: ["raise","gleam","annex","beady","death"]
"fresh"[4]: ["raise","dress","wrest","fresh"]
"crust"[3]: ["raise","burst","crust"]
"stool"[3]: ["raise","slunk","stool"]
"colon"[3]: ["raise","thong","colon"]
"abase"[4]: ["raise","lease","phase","abase"]
"marry"[3]: ["raise","macro","marry"]
"react"[3]: ["raise","realm","react"]
"batty"[5]: ["raise","mangy","cabby","badly","batty"]
"pride"[4]: ["raise","crime","bride","pride"]
"floss"[3]: ["raise","bossy","floss"]
"helix"[3]: ["raise","liken","helix"]
"croak"[4]: ["raise","graft","arbor","croak"]
"staff"[4]: ["raise","scant","stalk","staff"]
"paper"[6]: ["raise","gayer","wafer","maker","later","paper"]
"unfed"[3]: ["raise","fleck","unfed"]
"whelp"[4]: ["raise","fleck","quell","whelp"]
"trawl"[4]: ["raise","graft","track","trawl"]
"outdo"[4]: ["raise","thong","moult","outdo"]
"adobe"[3]: ["raise","blade","adobe"]
"crazy"[5]: ["raise","graft","drawn","cramp","crazy"]
"sower"[4]: ["raise","sheer","surer","sower"]
"repay"[4]: ["raise","realm","rebar","repay"]
